misheard,correction,context
annual max,annual maximum,insurance verification
yerly maximum,annual maximum,insurance verification
yearly max,annual maximum,insurance verification
anuel maximam,annual maximum,insurance verification
anual maxem,annual maximum,insurance verification
annual miximum,annual maximum,insurance verification
animal maximum,annual maximum,insurance verification
yearly maximum,annual maximum,insurance verification
anual maximum,annual maximum,insurance verification
annual maximum,annual maximum,insurance verification
annual macksum,annual maximum,insurance verification
anny maximum,annual maximum,insurance verification
anuel maximam,anual maximum,insurance verification
anual maximum,anual maximum,insurance verification
animal maximum,anual maximum,insurance verification
annual miximum,anual maximum,insurance verification
annuwal maximum,anual maximum,insurance verification
anual max,anual maximum,insurance verification
yearly max,anual maximum,insurance verification
yerly maximum,anual maximum,insurance verification
remainin maximum,anual maximum,insurance verification
remaing max,anual maximum,insurance verification
remaning maximam,anual maximum,insurance verification
annual axe,anual maximum,insurance verification
annual macksum,anual maximum,insurance verification
remeining max,anual maximum,insurance verification
anny maximum,anual maximum,insurance verification
anuel maxum,anual maximum,insurance verification
maximun anuel,anual maximum,insurance verification
maximal anual,anual maximum,insurance verification
maxum annual,anual maximum,insurance verification
anual maxem,anual maximum,insurance verification
animum max,anual maximum,insurance verification
ann maxim,anual maximum,insurance verification
ann max,anual maximum,insurance verification
annual min max,anual maximum,insurance verification
basik coverage,basic coverage,insurance verification
base cover,basic coverage,insurance verification
base coverage,basic coverage,insurance verification
basic cov,basic coverage,insurance verification
basic core,basic coverage,insurance verification
basic covrage,basic coverage,insurance verification
basic care,basic coverage,insurance verification
basic coverage,basic coverage,insurance verification
basic cuvrage,basic coverage,insurance verification
basic curr,basic coverage,insurance verification
basic cover edge,basic coverage,insurance verification
basic cover age,basic coverage,insurance verification
basic cuvv,basic coverage,insurance verification
basic case,basic coverage,insurance verification
base cov,basic coverage,insurance verification
basic cave,basic coverage,insurance verification
basic cove,basic coverage,insurance verification
basic curse,basic coverage,insurance verification
base case,basic coverage,insurance verification
basic curage,basic coverage,insurance verification
basic curve,basic coverage,insurance verification
basic courage age,basic coverage,insurance verification
base curage,basic coverage,insurance verification
basic carve,basic coverage,insurance verification
basic cure,basic coverage,insurance verification
basic courage,basic coverage,insurance verification
benefit perod,benefit period,insurance verification
benefits span,benefit period,insurance verification
benefit plan,benefit period,insurance verification
benefit peri,benefit period,insurance verification
benefit span,benefit period,insurance verification
benefits period,benefit period,insurance verification
benefit peeriod,benefit period,insurance verification
benefit pear,benefit period,insurance verification
benefit period,benefit period,insurance verification
benefits peariod,benefit period,insurance verification
dbirth,date of birth,patient information
born on date,date of birth,patient information
born date,date of birth,patient information
data de birth,date of birth,patient information
date af birth,date of birth,patient information
date box,date of birth,patient information
data of box,date of birth,patient information
day of birth,date of birth,patient information
day birth,date of birth,patient information
date birt,date of birth,patient information
dofb,date of birth,patient information
databird,date of birth,patient information
datebirth,date of birth,patient information
dobirth,date of birth,patient information
dtob,date of birth,patient information
d.birth,date of birth,patient information
birthdt,date of birth,patient information
dateofbirth,date of birth,patient information
d-o-b,date of birth,patient information
date of worth,date of birth,patient information
d/o/b,date of birth,patient information
birthdate,date of birth,patient information
birth date,date of birth,patient information
birth-date,date of birth,patient information
bday date,date of birth,patient information
b'day,date of birth,patient information
data birth,date of birth,patient information
date a birth,date of birth,patient information
data of birth,date of birth,patient information
date of berth,date of birth,patient information
date birth,date of birth,patient information
det of bath,date of birth,patient information
date off bath,date of birth,patient information
date of buth,date of birth,patient information
date or birth,date of birth,patient information
date de birth,date of birth,patient information
d.o.b,date of birth,patient information
dob,date of birth,patient information
date of birth,date of birth,patient information
d.o.b.,date of birth,patient information
natal date,date of birth,patient information
birth day date,date of birth,patient information
data box,date of birth,patient information
date of girth,date of birth,patient information
gate of birth,date of birth,patient information
rate of birth,date of birth,patient information
detectible,deductable,insurance verification
deducktible,deductable,insurance verification
dedactable,deductable,insurance verification
deductibel,deductable,insurance verification
deductable met,deductable,insurance verification
deductible knot,deductable,insurance verification
deduct mate,deductable,insurance verification
deduct meet,deductable,insurance verification
ded table,deductable,insurance verification
deduc tibble,deductable,insurance verification
duck table,deductable,insurance verification
de duck table,deductable,insurance verification
dee duct able,deductable,insurance verification
detect able,deductable,insurance verification
deduct bull,deductable,insurance verification
deducted bill,deductable,insurance verification
deduct bill,deductable,insurance verification
ded bill,deductable,insurance verification
deduc table,deductable,insurance verification
dedectable,deductable,insurance verification
de duc table,deductable,insurance verification
dee ductible,deductable,insurance verification
deductable,deductable,insurance verification
deductibile,deductable,insurance verification
deductibel,deductible,insurance verification
deductable,deductible,insurance verification
deductibull,deductible,insurance verification
detectable,deductible,insurance verification
detectible,deductible,insurance verification
deductable met,deductible,insurance verification
deduct meet,deductible,insurance verification
deduct mate,deductible,insurance verification
deducted met,deductible,insurance verification
deductible met,deductible,insurance verification
deduct meetable,deductible,insurance verification
deductable mate,deductible,insurance verification
ded table,deductible,insurance verification
deduc tibble,deductible,insurance verification
ded tickable,deductible,insurance verification
deductible,deductible,insurance verification
deductibol,deductible,insurance verification
deductibill,deductible,insurance verification
deductibele,deductible,insurance verification
dedactable,deductible,insurance verification
deducktible,deductible,insurance verification
deduct knot,deductible,insurance verification
efective date,effective date,insurance verification
effect date,effective date,insurance verification
affect date,effective date,insurance verification
affective date,effective date,insurance verification
affect if date,effective date,insurance verification
affect of date,effective date,insurance verification
affective det,effective date,insurance verification
effect of date,effective date,insurance verification
affect ive date,effective date,insurance verification
effect ive date,effective date,insurance verification
effected date,effective date,insurance verification
effective date,effective date,insurance verification
affect day,effective date,insurance verification
effactive date,effective date,insurance verification
effective day,effective date,insurance verification
effective dit,effective date,insurance verification
effect debt,effective date,insurance verification
effective debt,effective date,insurance verification
effect det,effective date,insurance verification
affect det,effective date,insurance verification
effective det,effective date,insurance verification
effect if date,effective date,insurance verification
affect dit,effective date,insurance verification
effective dare,effective date,insurance verification
affect debt,effective date,insurance verification
eligibility,eligibility,insurance verification
illijibility,eligibility,insurance verification
illegibility,eligibility,insurance verification
eligable,eligibility,insurance verification
illijibility status,eligibility,insurance verification
eligibily,eligibility,insurance verification
eligable status,eligibility,insurance verification
ill-ability,eligibility,insurance verification
legibility,eligibility,insurance verification
leg able,eligibility,insurance verification
elegibility,eligibility,insurance verification
eligi bility,eligibility,insurance verification
eligibility check,eligibility,insurance verification
eligibility check status,eligibility,insurance verification
endo-dontics coverage,endodontics coverage,insurance verification
endo dentist,endodontics coverage,insurance verification
endodontics coverage,endodontics coverage,insurance verification
endo dental coverage,endodontics coverage,insurance verification
endo dentist coverage,endodontics coverage,insurance verification
endodontics cover,endodontics coverage,insurance verification
endo donics coverage,endodontics coverage,insurance verification
endo don coverage,endodontics coverage,insurance verification
endo don test,endodontist,insurance verification
endo dentist,endodontist,insurance verification
endo donics,endodontist,insurance verification
end dentics,endodontist,insurance verification
end o dentics,endodontist,insurance verification
endo dentics,endodontist,insurance verification
end o dental,endodontist,insurance verification
end o dentist,endodontist,insurance verification
endo dental,endodontist,insurance verification
end dental,endodontist,insurance verification
endodentics,endodontist,insurance verification
endo dontist,endodontist,insurance verification
end dentist,endodontist,insurance verification
endodontist,endodontist,insurance verification
end don test,endodontist,insurance verification
endodonics,endodontist,insurance verification
endo dent,endodontist,insurance verification
endo test,endodontist,insurance verification
endo dont,endodontist,insurance verification
end donics,endodontist,insurance verification
first name,first name,patient information
fast name,first name,patient information
first in,first name,patient information
firs name,first name,patient information
fist name,first name,patient information
furst name,first name,patient information
first nane,first name,patient information
first noon,first name,patient information
free you see,frequency,insurance verification
free wen see,frequency,insurance verification
freq wen see,frequency,insurance verification
free u see,frequency,insurance verification
frequincy,frequency,insurance verification
freq u see,frequency,insurance verification
freakwency,frequency,insurance verification
freq you see,frequency,insurance verification
frequency see,frequency,insurance verification
freq see,frequency,insurance verification
free won see,frequency,insurance verification
free quincy,frequency,insurance verification
free quency,frequency,insurance verification
freak when see,frequency,insurance verification
freq won see,frequency,insurance verification
freq one see,frequency,insurance verification
free quan see,frequency,insurance verification
free when see,frequency,insurance verification
freequency,frequency,insurance verification
freq when see,frequency,insurance verification
freqwency limitations,frequency limitations,insurance verification
fre quency limit,frequency limitations,insurance verification
freakwency limitations,frequency limitations,insurance verification
freq. limitations,frequency limitations,insurance verification
frequent limit,frequency limitations,insurance verification
freq see limitations,frequency limitations,insurance verification
frequincy limit,frequency limitations,insurance verification
frequent times,frequency limitations,insurance verification
frequency limit,frequency limitations,insurance verification
frequency limitations,frequency limitations,insurance verification
freqency limit,frequency limitations,insurance verification
grope number,group number,insurance verification
group numer,group number,insurance verification
group numbers,group number,insurance verification
group none,group number,insurance verification
group member,group number,insurance verification
group nun,group number,insurance verification
