misheard,correction,faiss_index
annual max,annual maximum,480
yerly maximum,annual maximum,367
yearly max,annual maximum,451
anuel maximam,annual maximum,370
anual maxem,annual maximum,300
annual miximum,annual maximum,144
animal maximum,annual maximum,489
yearly maximum,annual maximum,464
anual maximum,annual maximum,479
annual maximum,annual maximum,459
annual macksum,annual maximum,73
anny maximum,annual maximum,533
anuel maximam,anual maximum,370
anual maximum,anual maximum,479
animal maximum,anual maximum,489
annual miximum,anual maximum,144
annuwal maximum,anual maximum,453
anual max,anual maximum,499
yearly max,anual maximum,451
yerly maximum,anual maximum,367
remainin maximum,anual maximum,384
remaing max,anual maximum,475
remaning maximam,anual maximum,168
annual axe,anual maximum,352
annual macksum,anual maximum,73
remeining max,anual maximum,325
anny maximum,anual maximum,533
anuel maxum,anual maximum,398
maximun anuel,anual maximum,468
maximal anual,anual maximum,331
maxum annual,anual maximum,376
anual maxem,anual maximum,300
animum max,anual maximum,400
ann maxim,anual maximum,463
ann max,anual maximum,542
annual min max,anual maximum,391
basik coverage,basic coverage,160
base cover,basic coverage,217
base coverage,basic coverage,251
basic cov,basic coverage,53
basic core,basic coverage,142
basic covrage,basic coverage,18
basic care,basic coverage,25
basic coverage,basic coverage,11
basic cuvrage,basic coverage,17
basic curr,basic coverage,37
basic cover edge,basic coverage,444
basic cover age,basic coverage,197
basic cuvv,basic coverage,165
basic case,basic coverage,15
base cov,basic coverage,364
basic cave,basic coverage,39
basic cove,basic coverage,41
basic curse,basic coverage,306
base case,basic coverage,223
basic curage,basic coverage,6
basic curve,basic coverage,110
basic courage age,basic coverage,297
base curage,basic coverage,211
basic carve,basic coverage,36
basic cure,basic coverage,126
basic courage,basic coverage,124
benefit perod,benefit period,28
benefits span,benefit period,190
benefit plan,benefit period,443
benefit peri,benefit period,83
benefit span,benefit period,266
benefits period,benefit period,194
benefit peeriod,benefit period,60
benefit pear,benefit period,490
benefit period,benefit period,156
benefits peariod,benefit period,45
dbirth,date of birth,77
born on date,date of birth,277
born date,date of birth,397
data de birth,date of birth,93
date af birth,date of birth,395
date box,date of birth,538
data of box,date of birth,82
day of birth,date of birth,446
day birth,date of birth,452
date birt,date of birth,440
dofb,date of birth,105
databird,date of birth,174
datebirth,date of birth,498
dobirth,date of birth,147
dtob,date of birth,207
d.birth,date of birth,30
birthdt,date of birth,191
dateofbirth,date of birth,461
d-o-b,date of birth,75
date of worth,date of birth,235
d/o/b,date of birth,135
birthdate,date of birth,500
birth date,date of birth,455
birth-date,date of birth,394
bday date,date of birth,536
b'day,date of birth,220
data birth,date of birth,68
date a birth,date of birth,361
data of birth,date of birth,258
date of berth,date of birth,198
date birth,date of birth,432
det of bath,date of birth,79
date off bath,date of birth,511
date of buth,date of birth,476
date or birth,date of birth,267
date de birth,date of birth,390
d.o.b,date of birth,113
dob,date of birth,327
date of birth,date of birth,368
d.o.b.,date of birth,56
natal date,date of birth,283
birth day date,date of birth,518
data box,date of birth,52
date of girth,date of birth,270
gate of birth,date of birth,328
rate of birth,date of birth,341
detectible,deductable,13
deducktible,deductable,43
dedactable,deductable,5
deductibel,deductable,387
deductable met,deductable,254
deductible knot,deductable,228
deduct mate,deductable,290
deduct meet,deductable,458
ded table,deductable,412
deduc tibble,deductable,292
duck table,deductable,288
de duck table,deductable,263
dee duct able,deductable,244
detect able,deductable,3
deduct bull,deductable,531
deducted bill,deductable,371
deduct bill,deductable,513
ded bill,deductable,408
deduc table,deductable,275
dedectable,deductable,123
de duc table,deductable,195
dee ductible,deductable,94
deductable,deductable,414
deductibile,deductable,205
deductibel,deductible,387
deductable,deductible,414
deductibull,deductible,221
detectable,deductible,20
detectible,deductible,13
deductable met,deductible,254
deduct meet,deductible,458
deduct mate,deductible,290
deducted met,deductible,173
deductible met,deductible,271
deduct meetable,deductible,320
deductable mate,deductible,249
ded table,deductible,412
deduc tibble,deductible,292
ded tickable,deductible,169
deductible,deductible,301
deductibol,deductible,272
deductibill,deductible,332
deductibele,deductible,321
dedactable,deductible,5
deducktible,deductible,43
deduct knot,deductible,103
efective date,effective date,388
effect date,effective date,508
affect date,effective date,567
affective date,effective date,427
affect if date,effective date,564
affect of date,effective date,565
affective det,effective date,183
effect of date,effective date,561
affect ive date,effective date,534
effect ive date,effective date,504
effected date,effective date,442
effective date,effective date,310
affect day,effective date,540
effactive date,effective date,346
effective day,effective date,224
effective dit,effective date,61
effect debt,effective date,496
effective debt,effective date,326
effect det,effective date,146
affect det,effective date,340
effective det,effective date,50
effect if date,effective date,557
affect dit,effective date,381
effective dare,effective date,130
affect debt,effective date,525
eligibility,eligibility,14
illijibility,eligibility,186
illegibility,eligibility,35
eligable,eligibility,1
illijibility status,eligibility,293
eligibily,eligibility,16
eligable status,eligibility,48
ill-ability,eligibility,248
legibility,eligibility,225
leg able,eligibility,339
elegibility,eligibility,9
eligi bility,eligibility,128
eligibility check,eligibility,133
eligibility check status,eligibility,358
endo-dontics coverage,endodontics coverage,462
endo dentist,endodontics coverage,544
endodontics coverage,endodontics coverage,556
endo dental coverage,endodontics coverage,507
endo dentist coverage,endodontics coverage,545
endodontics cover,endodontics coverage,505
endo donics coverage,endodontics coverage,423
endo don coverage,endodontics coverage,486
endo don test,endodontist,495
endo dentist,endodontist,544
endo donics,endodontist,375
end dentics,endodontist,416
end o dentics,endodontist,268
endo dentics,endodontist,512
end o dental,endodontist,278
end o dentist,endodontist,492
endo dental,endodontist,519
end dental,endodontist,493
